Degree Level,Nationality,Gender,Year Quarter,Salary,Currency
Diploma,Saudi,Female,2021 Q1,9067,SAR
Diploma,Saudi,Male,2021 Q1,10330,SAR
Diploma,NonSaudi,Female,2021 Q2,3486,SAR
Diploma,NonSaudi,Male,2021 Q2,4362,SAR
Diploma,Saudi,Female,2021 Q2,8835,SAR
Diploma,Saudi,Male,2021 Q2,10675,SAR
Doctorate,NonSaudi,Female,2017 Q1,12847,SAR
Doctorate,NonSaudi,Male,2017 Q1,15608,SAR
Doctorate,Saudi,Female,2017 Q1,22953,SAR
Doctorate,Saudi,Male,2017 Q1,26380,SAR
Doctorate,NonSaudi,Female,2017 Q2,12005,SAR
Doctorate,NonSaudi,Male,2017 Q2,17074,SAR
Doctorate,Saudi,Female,2017 Q2,16204,SAR
Doctorate,Saudi,Male,2017 Q2,27509,SAR
Doctorate,NonSaudi,Female,2017 Q3,10259,SAR
Doctorate,NonSaudi,Male,2017 Q3,16788,SAR
Doctorate,Saudi,Female,2017 Q3,22216,SAR
Doctorate,Saudi,Male,2017 Q3,23079,SAR
Doctorate,NonSaudi,Female,2017 Q4,11862,SAR
Doctorate,NonSaudi,Male,2017 Q4,16262,SAR
Doctorate,Saudi,Female,2017 Q4,21491,SAR
Doctorate,Saudi,Male,2017 Q4,24906,SAR
Doctorate,NonSaudi,Female,2018 Q1,11254,SAR
Doctorate,NonSaudi,Male,2018 Q1,17241,SAR
Doctorate,Saudi,Female,2018 Q1,19321,SAR
Doctorate,Saudi,Male,2018 Q1,23032,SAR
Doctorate,NonSaudi,Female,2018 Q2,13526,SAR
Doctorate,NonSaudi,Male,2018 Q2,17749,SAR
Doctorate,Saudi,Female,2018 Q2,23371,SAR
Doctorate,Saudi,Male,2018 Q2,26700,SAR
Doctorate,NonSaudi,Female,2018 Q3,14305,SAR
Doctorate,NonSaudi,Male,2018 Q3,17876,SAR
Doctorate,Saudi,Female,2018 Q3,20815,SAR
Doctorate,Saudi,Male,2018 Q3,27214,SAR
Doctorate,NonSaudi,Female,2018 Q4,12763,SAR
Doctorate,NonSaudi,Male,2018 Q4,15933,SAR
Doctorate,Saudi,Female,2018 Q4,17129,SAR
Doctorate,Saudi,Male,2018 Q4,24459,SAR
Doctorate,NonSaudi,Female,2019 Q1,13167,SAR
Doctorate,NonSaudi,Male,2019 Q1,16061,SAR
Doctorate,Saudi,Female,2019 Q1,21363,SAR
Doctorate,Saudi,Male,2019 Q1,26262,SAR
Doctorate,NonSaudi,Female,2019 Q2,13502,SAR
Doctorate,NonSaudi,Male,2019 Q2,18762,SAR
Doctorate,Saudi,Female,2019 Q2,21403,SAR
Doctorate,Saudi,Male,2019 Q2,24024,SAR
Doctorate,NonSaudi,Female,2019 Q3,12112,SAR
Doctorate,NonSaudi,Male,2019 Q3,19210,SAR
Doctorate,Saudi,Female,2019 Q3,20464,SAR
Doctorate,Saudi,Male,2019 Q3,24321,SAR
Doctorate,NonSaudi,Female,2019 Q4,13424,SAR
Doctorate,NonSaudi,Male,2019 Q4,18246,SAR
Doctorate,Saudi,Female,2019 Q4,20665,SAR
Doctorate,Saudi,Male,2019 Q4,30599,SAR
Doctorate,NonSaudi,Female,2020 Q1,16034,SAR
Doctorate,NonSaudi,Male,2020 Q1,19311,SAR
Doctorate,Saudi,Female,2020 Q1,21528,SAR
Doctorate,Saudi,Male,2020 Q1,27777,SAR
Doctorate,NonSaudi,Female,2020 Q2,13947,SAR
Doctorate,NonSaudi,Male,2020 Q2,16736,SAR
Doctorate,Saudi,Female,2020 Q2,21483,SAR
Doctorate,Saudi,Male,2020 Q2,24202,SAR
Doctorate,NonSaudi,Female,2020 Q3,13993,SAR
Doctorate,NonSaudi,Male,2020 Q3,16715,SAR
